,Player,Twitter
1,Kareem Abdul-Jabbar,kaj33
2,Quincy Acy,QuincyAcy
3,Jaylen Adams,10jadams
4,Jordan Adams,jordanadams1231
5,Steven Adams,RealStevenAdams
6,Bam Adebayo,Bam1of1
7,Jeff Adrien,Adrien4
8,Maurice Ager,moeager
9,Furkan Aldemir,furkanaldemir19
10,Cole Aldrich,colea45
11,LaMarcus Aldridge,aldridge_12
12,Rawle Alkins,Iam_RawleAlkins
13,Grayson Allen,GraysonJAllen
14,Jarrett Allen,JarrettAllen55
15,Malik Allen,THEleekAllen30
16,Ray Allen,greenRAYn20
17,Tony Allen,aa000G9
18,Morris Almond,FreeMoAlmond
19,John Amaechi,JohnAmaechi
20,Al-Farouq Aminu,farouq1
21,Lou Amundson,LouAmundson17
22,Alan Anderson,ASqared06
23,Justin Anderson,JusAnderson1
24,Kenny Anderson,chibbs_1
25,Kyle Anderson,KyleAnderson5
26,Braian Angola-Rodas,Angola2411
27,Ike Anigbogu,IkePostrs_
28,Giannis Antetokounmpo,Giannis_An34
29,Kostas Antetokounmpo,Kostas_ante13
30,Carmelo Anthony,carmeloanthony
31,Greg Anthony,GregAnthony50
32,OG Anunoby,OAnunoby
33,Robert Archibald,RobertArchibald
34,Gilbert Arenas,agentzeroshow
35,Trevor Ariza,TrevorAriza
36,Jamel Artis,melartis1
37,Omer Asik,AsikOmer
38,Gustavo Ayon,Gustavo_Ayon15
39,Deandre Ayton,DeandreAyton
40,Kelenna Azubuike,KAzubuike7
41,Jordan Bachynski,BLOCKchynski
42,Dwayne Bacon,BaconDwayne1000
43,Marvin Bagley,MB3FIVE
44,Ron Baker,RonBaker31
45,Wade Baldwin,The_Fourth_Wade
46,Renaldo Balkman,R_Balkman32
47,Lonzo Ball,ZO2_
48,Leandro Barbosa,TheBlurBarbosa
49,J.J. Barea,jjbareapr
50,Andrea Bargnani,AndreaBargnani
51,Harrison Barnes,HBarnes
52,Matt Barnes,Matt_Barnes22
53,Earl Barron,earldee
54,Brent Barry,Barryathree
55,Will Barton,WillTheThrillB5
56,Shane Battier,ShaneBattier
57,Nicolas Batum,nicolas88batum
58,Jerryd Bayless,jerrydbayless
59,Kent Bazemore,24Bazemore
60,Bradley Beal,RealDealBeal23
61,Malik Beasley,Mbeasy5
62,Michael Beasley,easyst0
63,Beau Beech,beaubeech02
64,Marco Belinelli,marcobelinelli
65,Charlie Bell,flintstone14
66,Jordan Bell,1jordanbell
67,Troy Bell,TroyBellS2P
68,Dragan Bender,DBender03
69,Jonathan Bender,jonathanbender9
70,Anthony Bennett,AnthonyBennett
71,Keith Benson,RealKITO
72,Joel Berry,JoelBerryII
73,Davis Bertans,DBertans_42
74,Patrick Beverley,patbev21
75,Chauncey Billups,1MrBigShot
76,James Blackmon,jblackmon2
77,DeJuan Blair,DeJuan45
78,Steve Blake,SteveBlake5
79,Antonio Blakeney,blakeney96
80,Andray Blatche,drayblatche
81,Eric Bledsoe,EBled2
82,Jaron Blossomgame,JaronBgame
83,Vander Blue,veezy_SQ
84,Trevon Bluiett,TrevonBluiett
85,Bogdan Bogdanovic,LeaderOfHorde
86,Muggsy Bogues,MuggsyBogues
87,Andrew Bogut,andrewbogut
